object_key,designation,actual_label,predicted_label,predicted_probability,model_name,feature_set,model_family,correct,confidence_bucket,risk_score_0_100,risk_category,notes,graph_model_name,node_embedding_dimension,neighbor_context_used,prediction_mode,training_strategy,leakage_risk,evidence_role
20196068,196068,1,0,0.4864565563307697,random_forest,no_definition_features,tabular,False,low,38.119806,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20006491,6491,1,0,0.34296618973809695,logistic_regression,orbital_only,tabular,False,medium,34.091358,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20014827,14827,1,0,0.3380256810610179,logistic_regression,orbital_only,tabular,False,medium,26.698408,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20053319,53319,1,0,0.26870580613017325,logistic_regression,orbital_only,tabular,False,medium,35.7898,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20100085,100085,1,0,0.4805783821978243,logistic_regression,orbital_only,tabular,False,low,35.227288,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20136795,136795,1,0,0.4888650531595808,logistic_regression,orbital_only,tabular,False,low,34.211891,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20143649,143649,1,0,0.1478482833154487,logistic_regression,orbital_only,tabular,False,high,41.239781,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20154269,154269,1,0,0.34645684402293564,logistic_regression,orbital_only,tabular,False,medium,36.480239,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20164216,164216,1,0,0.3169633712702904,logistic_regression,orbital_only,tabular,False,medium,37.386773,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20192563,192563,1,0,0.4393635188843583,logistic_regression,orbital_only,tabular,False,low,35.270947,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20196068,196068,1,0,0.09987001865947387,logistic_regression,orbital_only,tabular,False,high,38.119806,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20208115,208115,1,0,0.45813305908397084,logistic_regression,orbital_only,tabular,False,low,36.990838,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20001981,1981,1,0,0.4056282983345503,logistic_regression,orbital_only,tabular,False,low,38.765796,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20003122,3122,1,0,0.4326990124680534,logistic_regression,orbital_only,tabular,False,low,31.907797,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20037638,37638,1,0,0.48759033415899944,logistic_regression,orbital_only,tabular,False,low,38.790131,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20140288,140288,1,0,0.15638220070347042,logistic_regression,orbital_only,tabular,False,medium,29.89535,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20143992,143992,1,0,0.4156134725717735,logistic_regression,orbital_only,tabular,False,low,37.159692,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20153220,153220,1,0,0.4784876585329143,logistic_regression,orbital_only,tabular,False,low,36.417744,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20153311,153311,1,0,0.2134465978544855,logistic_regression,orbital_only,tabular,False,medium,36.498427,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20159504,159504,1,0,0.3553598739054419,logistic_regression,orbital_only,tabular,False,low,27.426999,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20200840,200840,1,0,0.43161741464894987,logistic_regression,orbital_only,tabular,False,low,33.699409,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20230549,230549,1,0,0.4771818393150562,logistic_regression,orbital_only,tabular,False,low,21.616238,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20235756,235756,1,0,0.4148417335088849,logistic_regression,orbital_only,tabular,False,low,26.040174,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20007335,7335,1,0,0.4027093411230896,logistic_regression,orbital_only,tabular,False,low,28.382504,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20007822,7822,1,0,0.3481057517046608,logistic_regression,orbital_only,tabular,False,medium,28.046243,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20012923,12923,1,0,0.497045949757983,logistic_regression,orbital_only,tabular,False,low,29.5177,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137108,137108,1,0,0.39982731060933957,logistic_regression,orbital_only,tabular,False,low,43.096897,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162474,162474,1,0,0.18760288346433812,logistic_regression,orbital_only,tabular,False,medium,40.846195,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20002102,2102,1,0,0.1270272447042575,logistic_regression,orbital_only,tabular,False,high,27.280756,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20004015,4015,1,0,0.4872013609100764,logistic_regression,orbital_only,tabular,False,low,30.214913,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20012538,12538,1,0,0.3678989451845774,logistic_regression,orbital_only,tabular,False,low,27.866589,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20023187,23187,1,0,0.1553438497625528,logistic_regression,orbital_only,tabular,False,medium,40.395556,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20038071,38071,1,0,0.41894278309456423,logistic_regression,orbital_only,tabular,False,low,33.320361,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20086819,86819,1,0,0.4390391659179345,logistic_regression,orbital_only,tabular,False,low,26.483165,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20089830,89830,1,0,0.11057629800282824,logistic_regression,orbital_only,tabular,False,high,34.82273,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137427,137427,1,0,0.16589707329408773,logistic_regression,orbital_only,tabular,False,medium,39.068714,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20163014,163014,1,0,0.487471215960352,logistic_regression,orbital_only,tabular,False,low,34.286612,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20180186,180186,1,0,0.4295979272779012,logistic_regression,orbital_only,tabular,False,low,34.100689,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20197588,197588,1,0,0.18851821835042717,logistic_regression,orbital_only,tabular,False,medium,40.91115,elevated,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20053426,53426,1,0,0.4485961375982471,logistic_regression,orbital_only,tabular,False,low,36.309202,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20085938,85938,1,0,0.4273967192764736,logistic_regression,orbital_only,tabular,False,low,34.636698,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138095,138095,1,0,0.066897415717897,logistic_regression,orbital_only,tabular,False,high,35.821124,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162510,162510,1,0,0.32266708590982196,logistic_regression,orbital_only,tabular,False,medium,27.707539,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20164121,164121,1,0,0.321045767881225,logistic_regression,orbital_only,tabular,False,medium,34.41554,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20173561,173561,1,0,0.32546849841405595,logistic_regression,orbital_only,tabular,False,medium,36.317882,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
