object_key,designation,actual_label,predicted_label,predicted_probability,model_name,feature_set,model_family,correct,confidence_bucket,risk_score_0_100,risk_category,notes,graph_model_name,node_embedding_dimension,neighbor_context_used,prediction_mode,training_strategy,leakage_risk,evidence_role
20154715,154715,0,1,0.5233447981843681,random_forest,no_definition_features,tabular,False,low,31.957702,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20065733,65733,0,1,0.6111308396418572,random_forest,no_definition_features,tabular,False,low,31.750338,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20020429,20429,0,1,0.5331760855078701,random_forest,no_definition_features,tabular,False,low,32.713512,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20054509,54509,0,1,0.5574410222111512,random_forest,no_definition_features,tabular,False,low,36.033803,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20144411,144411,0,1,0.6367036221589754,random_forest,no_definition_features,tabular,False,low,31.997687,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20164294,164294,0,1,0.5557891067112402,random_forest,no_definition_features,tabular,False,low,30.916002,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20001864,1864,0,1,0.5136768078559628,logistic_regression,orbital_only,tabular,False,low,26.59629,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20002062,2062,0,1,0.6545828178017438,logistic_regression,orbital_only,tabular,False,medium,20.832218,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20002100,2100,0,1,0.603765225358659,logistic_regression,orbital_only,tabular,False,low,24.45369,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20005645,5645,0,1,0.626418840956358,logistic_regression,orbital_only,tabular,False,low,25.0592,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20005797,5797,0,1,0.5255669595604671,logistic_regression,orbital_only,tabular,False,low,19.030588,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20008034,8034,0,1,0.5604972204522856,logistic_regression,orbital_only,tabular,False,low,30.75561,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20011054,11054,0,1,0.5305358704474192,logistic_regression,orbital_only,tabular,False,low,29.907521,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20011284,11284,0,1,0.5282567766424382,logistic_regression,orbital_only,tabular,False,low,27.652516,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20016816,16816,0,1,0.5448784473823104,logistic_regression,orbital_only,tabular,False,low,30.610107,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20035670,35670,0,1,0.5881803503176225,logistic_regression,orbital_only,tabular,False,low,32.332931,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20036017,36017,0,1,0.6745455096101214,logistic_regression,orbital_only,tabular,False,medium,29.158544,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20048603,48603,0,1,0.5244871754551348,logistic_regression,orbital_only,tabular,False,low,19.212667,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20088710,88710,0,1,0.5648970713497978,logistic_regression,orbital_only,tabular,False,low,18.522603,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20096744,96744,0,1,0.606532453180774,logistic_regression,orbital_only,tabular,False,low,32.941133,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20136582,136582,0,1,0.5026906813084994,logistic_regression,orbital_only,tabular,False,low,24.743233,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137052,137052,0,1,0.759346371271943,logistic_regression,orbital_only,tabular,False,medium,35.069778,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137158,137158,0,1,0.766476600125587,logistic_regression,orbital_only,tabular,False,medium,30.315426,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137924,137924,0,1,0.5152095168671322,logistic_regression,orbital_only,tabular,False,low,24.931875,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137925,137925,0,1,0.6125287851062774,logistic_regression,orbital_only,tabular,False,low,22.587903,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138859,138859,0,1,0.6068573977330092,logistic_regression,orbital_only,tabular,False,low,29.969195,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138947,138947,0,1,0.774096214692849,logistic_regression,orbital_only,tabular,False,medium,16.67666,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20152964,152964,0,1,0.5295442727073436,logistic_regression,orbital_only,tabular,False,low,20.70407,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20153267,153267,0,1,0.5903514310035307,logistic_regression,orbital_only,tabular,False,low,31.433015,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20153792,153792,0,1,0.7581078069274428,logistic_regression,orbital_only,tabular,False,medium,35.159088,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20154347,154347,0,1,0.7639106674570892,logistic_regression,orbital_only,tabular,False,medium,31.159428,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20154658,154658,0,1,0.556644312821472,logistic_regression,orbital_only,tabular,False,low,30.030996,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20163758,163758,0,1,0.5041606540776744,logistic_regression,orbital_only,tabular,False,low,35.211542,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20187026,187026,0,1,0.5349092470952791,logistic_regression,orbital_only,tabular,False,low,31.209693,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20192642,192642,0,1,0.707229585880041,logistic_regression,orbital_only,tabular,False,medium,35.544988,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20002212,2212,0,1,0.7994864987689598,logistic_regression,orbital_only,tabular,False,medium,31.733197,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20003554,3554,0,1,0.6178700182313474,logistic_regression,orbital_only,tabular,False,low,24.858528,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20006063,6063,0,1,0.7529135456495442,logistic_regression,orbital_only,tabular,False,medium,24.986447,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20006611,6611,0,1,0.5681176209342214,logistic_regression,orbital_only,tabular,False,low,24.319139,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
