feature,importance_mean,importance_std,model_name,feature_set,leakage_sensitive
q,0.2513231027826418,0.02043574014698461,random_forest,orbital_only,False
i,0.20895131027142577,0.019469243351299684,random_forest,orbital_only,False
w,0.10431587288186091,0.010569834280828487,random_forest,orbital_only,False
e,0.0435322631268084,0.009326289286082446,random_forest,orbital_only,False
ma,0.027125908970475433,0.006804000154768196,random_forest,orbital_only,False
om,0.014629558022524603,0.006436602007200137,random_forest,orbital_only,False
a,0.011656201310202407,0.010050844291539502,random_forest,orbital_only,False
n,0.007402036192207295,0.009419361220032889,random_forest,orbital_only,False
ad,0.006355040269077061,0.00813049165313666,random_forest,orbital_only,False
per,0.0022349595732338414,0.007492472832208133,random_forest,orbital_only,False
